estado,nombre,numero,presidente,direccion
Nuevo León,Lic. Luis Cortés García ,25,False,Avenida Paseo de los Leones No. 715 Colonia Leones Monterrey Nuevo León 64600 
Nuevo León,Lic. Abelardo Pérez Ocañas ,26,False,"Calle Carlos Salazar, No. 918 Oriente Colonia Centro Monterrey Nuevo León 64000 "
Nuevo León,Lic. José Alfonso Gómez Tamez ,28,False,"Rafael J. Verger número 1814, despacho 2-A Colonia Obispado Monterrey Nuevo León 64008 "
Nuevo León,Lic. Roberto Arnoldo Flores Martínez ,29,False,"Calle Morelos No. 432 Oriente, Despacho 905 Colonia Centro Monterrey Nuevo León 64000 "
Nuevo León,Lic. Mónica Maldonado Quintanilla ,30,False,Róo Amacuzac No. 901 B Colonia Valle Oriente San Pedro Garza García Nuevo León 66269 
Nuevo León,Lic. Marcelo Alejandro Estrada Navarro ,31,False,Róo Papagayo No. 146 entre Calle Amozoc y Av. Rodrigo Gómez Colonia Mitras Norte Monterrey Nuevo León 64320 
Nuevo León,Lic. Martín Ángel Saldívar Alanís ,32,False,Con licencia de separación
Nuevo León,Lic. Gerardo Salinas Garza ,33,False,Av. Humberto Lobo No. 770 Colonia Del Valle San Pedro Garza García Nuevo León 66220 
Nuevo León,Lic. Brenda Josefina Treviño González ,34,False,Mariano Escobedo No. 109 Colonia Centro Montemorelos Nuevo León 
Nuevo León,Lic. Federico Lama Bremer ,35,False,"Róo Colorado No. 423, entre Avenida Gómez Morón y Róo Rosas Colonia Del Valle San Pedro Garza García Nuevo León 66220 "
Nuevo León,Lic. Roberto Auber Zenil Mondragón ,36,False,Rio Tóber No. 100-5 Colonia Del Valle (Sector Fátima) San Pedro Garza García Nuevo León 66257 
Nuevo León,Lic. Alejandro González Pérez ,37,False,"Calle Rio Manzanares No. 321, Segundo Piso Local B Colonia Del Valle San Pedro Garza García Nuevo León 66220 "
Nuevo León,Lic. Sergio Chapa Flores ,38,False,Avenida Puerta del Sol No. 502 – Int 20 Colonia Colinas de San Jerónimo Monterrey Nuevo León 64630 
Nuevo León,Lic. Nelly Verónica Maldonado González ,39,False,Calle San Francisco No. 170 Colonia La Fama Santa Catarina Nuevo León 66100 
Nuevo León,Lic. Bárbara Daniela Alcocer Axtle ,40,False,"Calle Planificadores No. 2802 Torre Cibeles, Piso 12, Oficina 136 Colonia Empleados SFEO Monterrey Nuevo León work"
